Locus,Pail,Date
69.70.001,1,Jun-28
70.56.000,2,Jun-26
41.30.020,44,Jun-27
42.21.021,105,Jun-29
69.70.007,8,Jun-30
24.42.000,140,Jun-30
69.70.002,10,03-Jul
24.42.003,138,Jun-30
41.30.039,116,05-Jul
41.30.039,119,05-Jul
25.62.001,224,Jun-28
41.30.039,118,05-Jul
24.42.000,01-Jun
41.30.025,65,10-Jul
25.62.050,249,04-Jul
42.21.041,122,06-Jul
24.42.004,142,03-Jul
42.21.042,123,06-Jul
41.30.026,28,12-Jul
69.70.017,32,13-Jul
24.42.026,149,04-Jul
69.70.049,31,13-Jul
24.42.020,147,04-Jul
42.21.044,129,10-Jul
25.62.057,256,06-Jul
42.21.044,132,10-Jul
25.61.036,265,10-Jul
25.61.058,263,10-Jul
41.30.026,75,19-Jul
25.61.035,264,10-Jul
42.21.046,135,11-Jul
42.21.049,134,11-Jul
24.42.025,156,05-Jul
25.61.036,267,10-Jul
69.70.025,45,19-Jul
25.61.058,266,10-Jul
25.61.036,267,10-Jul
42.21.045,134,12-Jul
24.42.035,149,05-Jul
24.42.035,248,05-Jul
25.62.062,270,11-Jul
24.42.035,244,05-Jul
25.61.000,134,13-Jul
24.42.035,246,05-Jul
41.30.028,83,26-Jul
24.42.035,2,05-Jul
41.30.027,82,26-Jul
41.30.027,84,27-Jul
69.70.025,62,26-Jul
25.62.062,278,13-Jul
24.42.048,158,06-Jul
69.70.024,62,26-Jul
25.61.000,290,18-Jul
25.61.058,291,18-Jul
25.61.007,292,18-Jul
25.62.062,283,14-Jul
25.61.039,289,18-Jul
25.62.044,136,14-Jul
25.62.004,135,14-Jul
25.61.001,152,21-Jul
25.62.062,294,19-Jul
42.21.093,164,21-Jul
24.42.060,177,11-Jul
25.62.005,146,19-Jul
24.42.034,178,11-Jul
25.62.005,144,19-Jul
42.21.043,170,25-Jul
24.42.032,176,11-Jul
25.62.005,145,19-Jul
24.42.060,175,11-Jul
42.21.027,82,26-Jul
42.21.024,62,26-Jul
25.62.055,301,20-Jul
42.21.060,173,27-Jul
42.21.062,175,28-Jul
24.42.035,181,13-Jul
25.62.019,154,24-Jul
25.62.077,382,26-Jul
25.62.000,317,25-Jul
25.62.066,321,26-Jul
25.62.066,324,27-Jul
25.62.056,163,28-Jul
25.62.049,331,28-Jul
24.42.061,217,20-Jul
24.42.042,228,24-Jul
24.42.018,232,25-Jul
24.42.042,239,26-Jul
24.42.042,246,27-Jul
24.42.042,245,27-Jul
24.42.000,252,28-Jul